      x        rho           u     p
         0    1.0000         0    1.0000
    0.0020    1.0000         0    1.0000
    0.0040    1.0000         0    1.0000
    0.0060    1.0000         0    1.0000
    0.0080    1.0000         0    1.0000
    0.0100    1.0000         0    1.0000
    0.0120    1.0000         0    1.0000
    0.0140    1.0000         0    1.0000
    0.0160    1.0000         0    1.0000
    0.0180    1.0000         0    1.0000
    0.0200    1.0000         0    1.0000
    0.0220    1.0000         0    1.0000
    0.0240    1.0000         0    1.0000
    0.0260    1.0000         0    1.0000
    0.0280    1.0000         0    1.0000
    0.0300    1.0000         0    1.0000
    0.0320    1.0000         0    1.0000
    0.0340    1.0000         0    1.0000
    0.0360    1.0000         0    1.0000
    0.0380    1.0000         0    1.0000
    0.0400    1.0000         0    1.0000
    0.0420    1.0000         0    1.0000
    0.0440    1.0000         0    1.0000
    0.0460    1.0000         0    1.0000
    0.0480    1.0000         0    1.0000
    0.0500    1.0000         0    1.0000
    0.0520    1.0000         0    1.0000
    0.0540    1.0000         0    1.0000
    0.0560    1.0000         0    1.0000
    0.0580    1.0000         0    1.0000
    0.0600    1.0000         0    1.0000
    0.0620    1.0000         0    1.0000
    0.0640    1.0000         0    1.0000
    0.0660    1.0000         0    1.0000
    0.0680    1.0000         0    1.0000
    0.0700    1.0000         0    1.0000
    0.0720    1.0000         0    1.0000
    0.0740    1.0000         0    1.0000
    0.0760    1.0000         0    1.0000
    0.0780    1.0000         0    1.0000
    0.0800    1.0000         0    1.0000
    0.0820    1.0000         0    1.0000
    0.0840    1.0000         0    1.0000
    0.0860    1.0000         0    1.0000
    0.0880    1.0000         0    1.0000
    0.0900    1.0000         0    1.0000
    0.0920    1.0000         0    1.0000
    0.0940    1.0000         0    1.0000
    0.0960    1.0000         0    1.0000
    0.0980    1.0000         0    1.0000
    0.1000    1.0000         0    1.0000
    0.1020    1.0000         0    1.0000
    0.1040    1.0000         0    1.0000
    0.1060    1.0000         0    1.0000
    0.1080    1.0000         0    1.0000
    0.1100    1.0000         0    1.0000
    0.1120    1.0000         0    1.0000
    0.1140    1.0000         0    1.0000
    0.1160    1.0000         0    1.0000
    0.1180    1.0000         0    1.0000
    0.1200    1.0000         0    1.0000
    0.1220    1.0000         0    1.0000
    0.1240    1.0000         0    1.0000
    0.1260    1.0000         0    1.0000
    0.1280    1.0000         0    1.0000
    0.1300    1.0000         0    1.0000
    0.1320    1.0000         0    1.0000
    0.1340    1.0000         0    1.0000
    0.1360    1.0000         0    1.0000
    0.1380    1.0000         0    1.0000
    0.1400    1.0000         0    1.0000
    0.1420    1.0000         0    1.0000
    0.1440    1.0000         0    1.0000
    0.1460    1.0000         0    1.0000
    0.1480    1.0000         0    1.0000
    0.1500    1.0000         0    1.0000
    0.1520    1.0000         0    1.0000
    0.1540    1.0000         0    1.0000
    0.1560    1.0000         0    1.0000
    0.1580    1.0000         0    1.0000
    0.1600    1.0000         0    1.0000
    0.1620    1.0000         0    1.0000
    0.1640    1.0000         0    1.0000
    0.1660    1.0000         0    1.0000
    0.1680    1.0000         0    1.0000
    0.1700    1.0000         0    1.0000
    0.1720    1.0000         0    1.0000
    0.1740    1.0000         0    1.0000
    0.1760    1.0000         0    1.0000
    0.1780    1.0000         0    1.0000
    0.1800    1.0000         0    1.0000
    0.1820    1.0000         0    1.0000
    0.1840    1.0000         0    1.0000
    0.1860    1.0000         0    1.0000
    0.1880    1.0000         0    1.0000
    0.1900    1.0000         0    1.0000
    0.1920    1.0000         0    1.0000
    0.1940    1.0000         0    1.0000
    0.1960    1.0000         0    1.0000
    0.1980    1.0000         0    1.0000
    0.2000    1.0000         0    1.0000
    0.2020    1.0000         0    1.0000
    0.2040    1.0000         0    1.0000
    0.2060    1.0000         0    1.0000
    0.2080    1.0000         0    1.0000
    0.2100    1.0000         0    1.0000
    0.2120    1.0000         0    1.0000
    0.2140    1.0000         0    1.0000
    0.2160    1.0000         0    1.0000
    0.2180    1.0000         0    1.0000
    0.2200    1.0000         0    1.0000
    0.2220    1.0000         0    1.0000
    0.2240    1.0000         0    1.0000
    0.2260    1.0000         0    1.0000
    0.2280    1.0000         0    1.0000
    0.2300    1.0000         0    1.0000
    0.2320    1.0000         0    1.0000
    0.2340    0.9999    0.0001    0.9999
    0.2360    0.9999    0.0001    0.9999
    0.2380    0.9998    0.0002    0.9997
    0.2400    0.9996    0.0004    0.9995
    0.2420    0.9994    0.0008    0.9991
    0.2440    0.9989    0.0013    0.9985
    0.2460    0.9983    0.0020    0.9976
    0.2480    0.9974    0.0031    0.9963
    0.2500    0.9961    0.0046    0.9945
    0.2520    0.9944    0.0066    0.9922
    0.2540    0.9924    0.0090    0.9894
    0.2560    0.9899    0.0120    0.9859
    0.2580    0.9870    0.0155    0.9818
    0.2600    0.9836    0.0195    0.9771
    0.2620    0.9799    0.0240    0.9719
    0.2640    0.9758    0.0289    0.9662
    0.2660    0.9714    0.0343    0.9601
