      x        rho           u     p
         0    1.0000         0    1.0000
    0.0020    1.0000         0    1.0000
    0.0040    1.0000         0    1.0000
    0.0060    1.0000         0    1.0000
    0.0080    1.0000         0    1.0000
    0.0100    1.0000         0    1.0000
    0.0120    1.0000         0    1.0000
    0.0140    1.0000         0    1.0000
    0.0160    1.0000         0    1.0000
    0.0180    1.0000         0    1.0000
    0.0200    1.0000         0    1.0000
    0.0220    1.0000         0    1.0000
    0.0240    1.0000         0    1.0000
    0.0260    1.0000         0    1.0000
    0.0280    1.0000         0    1.0000
    0.0300    1.0000         0    1.0000
    0.0320    1.0000         0    1.0000
    0.0340    1.0000         0    1.0000
    0.0360    1.0000         0    1.0000
    0.0380    1.0000         0    1.0000
    0.0400    1.0000         0    1.0000
    0.0420    1.0000         0    1.0000
    0.0440    1.0000         0    1.0000
    0.0460    1.0000         0    1.0000
    0.0480    1.0000         0    1.0000
    0.0500    1.0000         0    1.0000
    0.0520    1.0000         0    1.0000
    0.0540    1.0000         0    1.0000
    0.0560    1.0000         0    1.0000
    0.0580    1.0000         0    1.0000
    0.0600    1.0000         0    1.0000
    0.0620    1.0000         0    1.0000
    0.0640    1.0000         0    1.0000
    0.0660    1.0000         0    1.0000
    0.0680    1.0000         0    1.0000
    0.0700    1.0000         0    1.0000
    0.0720    1.0000         0    1.0000
    0.0740    1.0000         0    1.0000
    0.0760    1.0000         0    1.0000
    0.0780    1.0000         0    1.0000
    0.0800    1.0000         0    1.0000
    0.0820    1.0000         0    1.0000
    0.0840    1.0000         0    1.0000
    0.0860    1.0000         0    1.0000
    0.0880    1.0000         0    1.0000
    0.0900    1.0000         0    1.0000
    0.0920    1.0000         0    1.0000
    0.0940    1.0000         0    1.0000
    0.0960    1.0000         0    1.0000
    0.0980    1.0000         0    1.0000
    0.1000    1.0000         0    1.0000
    0.1020    1.0000         0    1.0000
    0.1040    1.0000         0    1.0000
    0.1060    1.0000         0    1.0000
    0.1080    1.0000         0    1.0000
    0.1100    1.0000         0    1.0000
    0.1120    1.0000         0    1.0000
    0.1140    1.0000         0    1.0000
    0.1160    1.0000         0    1.0000
    0.1180    1.0000         0    1.0000
    0.1200    1.0000         0    1.0000
    0.1220    1.0000         0    1.0000
    0.1240    1.0000         0    1.0000
    0.1260    1.0000         0    1.0000
    0.1280    1.0000         0    1.0000
    0.1300    1.0000         0    1.0000
    0.1320    1.0000         0    1.0000
    0.1340    1.0000         0    1.0000
    0.1360    1.0000         0    1.0000
    0.1380    1.0000         0    1.0000
    0.1400    1.0000         0    1.0000
    0.1420    1.0000         0    1.0000
    0.1440    1.0000         0    1.0000
    0.1460    1.0000         0    1.0000
    0.1480    1.0000         0    1.0000
    0.1500    1.0000         0    1.0000
    0.1520    1.0000         0    1.0000
    0.1540    1.0000         0    1.0000
    0.1560    1.0000         0    1.0000
    0.1580    1.0000         0    1.0000
    0.1600    1.0000         0    1.0000
    0.1620    1.0000         0    1.0000
    0.1640    1.0000         0    1.0000
    0.1660    1.0000         0    1.0000
    0.1680    1.0000         0    1.0000
    0.1700    1.0000         0    1.0000
    0.1720    1.0000         0    1.0000
    0.1740    1.0000         0    1.0000
    0.1760    1.0000         0    1.0000
    0.1780    1.0000         0    1.0000
    0.1800    1.0000         0    1.0000
    0.1820    1.0000         0    1.0000
    0.1840    1.0000         0    1.0000
    0.1860    1.0000         0    1.0000
    0.1880    1.0000         0    1.0000
    0.1900    1.0000         0    1.0000
    0.1920    1.0000         0    1.0000
    0.1940    1.0000         0    1.0000
    0.1960    1.0000         0    1.0000
    0.1980    1.0000         0    1.0000
    0.2000    1.0000         0    1.0000
    0.2020    1.0000         0    1.0000
    0.2040    1.0000         0    1.0000
    0.2060    1.0000         0    1.0000
    0.2080    1.0000         0    1.0000
    0.2100    1.0000         0    1.0000
    0.2120    1.0000         0    1.0000
    0.2140    1.0000         0    1.0000
    0.2160    1.0000         0    1.0000
    0.2180    1.0000         0    1.0000
    0.2200    1.0000         0    1.0000
    0.2220    1.0000         0    1.0000
    0.2240    1.0000         0    1.0000
    0.2260    1.0000         0    1.0000
    0.2280    1.0000         0    1.0000
    0.2300    1.0000         0    1.0000
    0.2320    1.0000         0    1.0000
    0.2340    1.0000         0    1.0000
    0.2360    1.0000         0    1.0000
    0.2380    1.0000         0    1.0000
    0.2400    1.0000         0    1.0000
    0.2420    1.0000         0    1.0000
    0.2440    1.0000         0    1.0000
    0.2460    1.0000         0    1.0000
    0.2480    1.0000         0    1.0000
    0.2500    1.0000         0    1.0000
    0.2520    1.0000         0    1.0000
    0.2540    1.0000         0    1.0000
    0.2560    1.0000         0    1.0000
    0.2580    1.0000    0.0001    1.0000
    0.2600    0.9999    0.0012    0.9998
    0.2620    0.9993    0.0054    0.9990
    0.2640    0.9936    0.0088    0.9911
    0.2660    0.9877    0.0149    0.9829
    0.2680    0.9816    0.0222    0.9743
    0.2700    0.9750    0.0297    0.9652
